Threat Level,Jurisdiction,Base Zone,Zone Category,Definition
High,Ada County,R12,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,Ada County,R20,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Boise,MX-1,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Boise,MX-2,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Boise,MX-3,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Boise,MX-4,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Boise,MX-5,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Boise,MX-H,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Boise,MX-U,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Boise,R-3,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Eagle,R-12,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Eagle,R-15,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Garden City,R-20,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Garden City,R-3,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Kuna,R-16,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Kuna,R-20,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Meridian,O-T,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Meridian,R-15,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Meridian,R-40,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Meridian,TN-C,Mixed Use,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Star,R-13,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
High,City of Star,R-14,Multifamily Residential,Multifamily can be built BY-RIGHT - no special approval needed.
Medium,Ada County,R8,Townhouse / Med-Density Residential,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
Medium,City of Boise,R-2,Two-Family / Low-Density Residential,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
Medium,City of Eagle,CBD,Mixed Use,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
Medium,City of Eagle,MU,Mixed Use,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
Medium,City of Eagle,R-10,Townhouse / Med-Density Residential,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
Medium,City of Eagle,R-9,Townhouse / Med-Density Residential,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
Medium,City of Kuna,CBD,Mixed Use,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
Medium,City of Kuna,R-12,Townhouse / Med-Density Residential,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
Medium,City of Kuna,R-8,Townhouse / Med-Density Residential,Multifamily possible but CONDITIONAL - townhouse / 3-4-family / mixed-use / TOD / corridor; limited density or special permitting.
